==============================================================

Station Name : ExampleStation
Launched     : 6/15/1990 0:30:00 AM

   Time   GPM_AGL        Alt_AGL        Alt_MSL       North           East         Ascent          Press           Temp         RelHum         WSpeed          WDirn          VTemp             DP           Dens             VP        Mix_Rat            SVP
      s         m              m              m          km             km          m/min            hPa             °C              %            m/s              °             °C             °C           g/m³            hPa                           hPa
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0       0.0            0.0          262.0      -0.004         -0.003              0         983.50         +15.40          95.00            0.5            135         +17.26          +14.6         1179.9          16.63           10.7          17.50
    0.3       1.0            1.0          263.0      -0.004         -0.003             61         983.51         +15.33          95.05            0.7            150         +17.18          +14.5         1180.2          16.56           10.7          17.42
    0.5       2.0            2.0          264.0      -0.004         -0.003            122         983.52         +15.25          95.11            0.9            159         +17.09          +14.5         1180.5          16.49           10.6          17.34
    0.8       3.0            3.0          265.0      -0.004         -0.003            183         983.53         +15.18          95.16            1.1            165         +17.01          +14.4         1180.9          16.42           10.6          17.26
    1.0       4.0            4.0          266.0      -0.004         -0.003            244         983.54         +15.11          95.22            1.3            168         +16.93          +14.4         1181.2          16.36           10.5          17.18
    1.5       5.0            5.0          267.0      -0.004         -0.003            245         983.52         +15.03          95.38            1.3            169         +16.85          +14.3         1181.5          16.30           10.5          17.09
    1.9       6.0            6.0          268.0      -0.004         -0.003            245         983.49         +14.95          95.55            1.3            170         +16.77          +14.2         1181.8          16.25           10.4          17.01
    2.2       7.0            7.0          269.0      -0.004         -0.003            246         983.44         +14.93          95.77            1.3            171         +16.74          +14.3         1181.9          16.26           10.5          16.98
    2.5       8.0            8.0          270.0      -0.005         -0.004            246         983.38         +14.92          96.01            1.3            171         +16.73          +14.3         1181.8          16.29           10.5          16.97
    2.8       9.0            9.0          271.0      -0.005         -0.004            247         983.32         +14.91          96.24            1.3            172         +16.73          +14.3         1181.8          16.32           10.5          16.96
    3.1      10.0           10.0          272.0      -0.005         -0.004            247         983.26         +14.91          96.45            1.3            172         +16.73          +14.3         1181.7          16.35           10.5          16.95
    3.3      11.0           11.0          273.0      -0.005         -0.005            247         983.18         +14.93          96.60            1.3            172         +16.75          +14.4         1181.5          16.40           10.6          16.98
    3.6      12.0           12.0          274.0      -0.005         -0.005            247         983.10         +14.95          96.75            1.3            173         +16.78          +14.4         1181.3          16.45           10.6          17.00
    3.8      13.0           13.0          275.0      -0.005         -0.006            248         983.03         +14.97          96.90            1.3            173         +16.81          +14.5         1181.1          16.49           10.6          17.02
    4.1      14.0           14.0          276.0      -0.005         -0.006            248         982.95         +15.01          97.03            1.3            173         +16.85          +14.5         1180.8          16.56           10.7          17.06
    4.3      15.0           15.0          277.0      -0.005         -0.006            248         982.87         +15.09          97.12            1.3            173         +16.94          +14.6         1180.4          16.66           10.7          17.15
    4.5      16.0           16.0          278.0      -0.005         -0.006            248         982.79         +15.16          97.22            1.3            174         +17.03          +14.7         1179.9          16.76           10.8          17.24
    4.7      17.0           17.0          279.0      -0.005         -0.007            248         982.71         +15.24          97.31            1.3            174         +17.13          +14.8         1179.4          16.86           10.9          17.33
    4.9      18.0           18.0          280.0      -0.004         -0.007            248         982.63         +15.32          97.40            1.3            174         +17.22          +14.9         1179.0          16.96           10.9          17.41
